,,Capital Disponível,Capital Disponível,Capital Disponível,Capital Disponível,Índice de Acesso a Capital
,,Operações de Crédito por Município,Proporção Relativa de Capital de Risco,Capital Poupado per capita,Índice de Capital Disponível,
Município,UF,,,,,
São Paulo,SP,2.068411401628149,0.08753475429513297,73537.99972588754,12.022655435043454,12.022655435043456
Rio de Janeiro,RJ,0.505407918466433,0.01158588252651628,45609.41177018405,7.387450671859178,7.387450671859179
Brasília,DF,0.6736498609774311,0.0001383932512760167,30904.108565842307,6.6214021703556165,6.6214021703556165
Salvador,BA,0.5053331043871365,0.003546990198984536,12869.45381077047,6.05995567180888,6.05995567180888
Fortaleza,CE,0.5132717460792763,0.00011918393057265897,14054.690789826554,5.980088350195637,5.980088350195637
Belo Horizonte,MG,1.2808179039476795,0.04681205806879714,37183.2784931922,8.89166083674326,8.891660836743261
Manaus,AM,0.21468789637328847,0.0,7710.987765431404,5.577797767824181,5.577797767824181
Curitiba,PR,0.7550652372312009,0.06586765831859076,38313.58061358866,9.263669787791839,9.26366978779184
Recife,PE,0.5836761629087605,0.0033162772954646457,20800.564487299045,6.355119161514024,6.355119161514024
Goiânia,GO,0.850186227831005,0.0010483886219903322,17925.86493604504,6.358105522630923,6.358105522630923
Belém,PA,0.5806610469182727,0.0,12085.142781561583,5.9576491742376065,5.9576491742376065
Porto Alegre,RS,1.1463351382690368,0.0032255787773726647,83609.49378638955,8.716748965087762,8.716748965087763
Guarulhos,SP,0.1627222635531142,0.0,10479.613893844496,5.63149833570715,5.63149833570715
Campinas,SP,0.43751191668747286,4.060435923136007e-05,32239.25687990144,6.5048247833046275,6.5048247833046275
São Luís,MA,0.4335920206977191,0.0,8036.4551952986385,5.7322581583610575,5.7322581583610575
São Gonçalo,RJ,0.15480207599674062,0.0,3853.8391424646084,5.415889903836208,5.415889903836208
Maceió,AL,0.4795130919652203,0.0,10020.889381221543,5.825505809672533,5.825505809672533
Duque de Caxias,RJ,0.12451684082792795,0.0,5963.348997093977,5.462935278804289,5.462935278804289
Campo Grande,MS,0.6079024047891982,0.0002433752036592803,9790.650450163264,5.911439677322354,5.911439677322354
Natal,RN,0.5010781943654078,0.0,9844.876551787203,5.834115097974221,5.834115097974221
Teresina,PI,0.5386602495125806,0.0,8465.490423888163,5.815058152876367,5.815058152876367
São Bernardo do Campo,SP,0.38911072805172486,0.0,18825.671871359755,6.045570960421711,6.045570960421711
João Pessoa,PB,0.5603538199171348,0.0,10371.523491273874,5.889864983344659,5.889864983344659
Nova Iguaçu,RJ,0.1685416615285768,0.0,4931.00866016952,5.459140260973778,5.459140260973778
São José dos Campos,SP,0.1955577203580107,0.0011219560239457507,13135.257134719453,5.777614697914093,5.777614697914093
Santo André,SP,0.21146792916970136,0.0,17702.53964765316,5.8929479289222995,5.8929479289222995
Ribeirão Preto,SP,0.6746517896024689,9.060551015887305e-05,26065.46366279877,6.466705260713215,6.466705260713215
Jaboatão dos Guararapes,PE,0.13022721174997381,0.0,2977.571120295784,5.371885039693128,5.371885039693128
Uberlândia,MG,0.5241460758448402,0.000745599275244048,12924.644616379634,5.973792964512538,5.973792964512538
Osasco,SP,6.224928662379169,0.0,31109.530570493338,10.277908508290043,10.277908508290045
Sorocaba,SP,0.28620500273835897,0.0010047364836041886,13802.721596138801,5.854294093023109,5.854294093023109
Contagem,MG,0.15228777510700914,0.0,10804.454566230714,5.6349432525317535,5.6349432525317535
Aracaju,SE,0.6633530869427862,0.0,15992.677840485034,6.136172519689957,6.136172519689957
Feira de Santana,BA,0.3788872859930072,0.0,6417.881560373462,5.644844858873402,5.644844858873402
Cuiabá,MT,0.7270019277857127,0.0,18844.941340316287,6.2686489755791,6.2686489755791
Joinville,SC,0.26208473799773147,0.0006160053595619048,15514.903300435913,5.878863549073125,5.878863549073125
Aparecida de Goiânia,GO,0.1775722639082084,0.0,2526.2883803776394,5.388726860144747,5.388726860144747
Londrina,PR,0.5885121811376766,0.005070050907294356,15313.374736171605,6.246856302128111,6.246856302128111
Juiz de Fora,MG,0.40445493834249807,0.00016196573334607768,12676.33974913944,5.866207650491197,5.866207650491197
Porto Velho,RO,0.38647818571792586,0.0,8271.199128521255,5.708692630961259,5.708692630961259
Ananindeua,PA,0.2609569456704251,0.0,2450.4099850113803,5.441217550927143,5.441217550927143
Serra,ES,0.12025151774031051,0.0,4580.502963121664,5.416216331719993,5.416216331719993
Caxias do Sul,RS,0.29316048383147353,0.0,15548.609400896668,5.878338397302058,5.878338397302058
Macapá,AP,0.41123449216876906,2.3362537301765808e-05,3747.0412342516706,5.582169154347909,5.582169154347909
Niterói,RJ,0.13106465548666169,0.0,24609.245506121115,6.059325210209611,6.059325210209611
Florianópolis,SC,0.7216546113541319,0.019855168943897758,23997.962292168417,7.139655320943157,7.139655320943158
Belford Roxo,RJ,0.09229539610169614,0.0,1703.0428053776984,5.306439720321669,5.306439720321669
Campos dos Goytacazes,RJ,0.11121884073366416,0.0,8734.88647858807,5.542186899026144,5.542186899026144
Vila Velha,ES,0.25640673881319037,0.0,8396.723256431176,5.627040014472438,5.627040014472438
Mauá,SP,0.17537905614439803,0.0,6655.4494327676575,5.518399594902896,5.518399594902896
São João de Meriti,RJ,0.13755920490226922,0.0,4160.727944484933,5.414282169467626,5.414282169467626
São José do Rio Preto,SP,0.5430463803333092,0.0008332436445826765,20884.085209506942,6.242117713195488,6.242117713195488
Mogi das Cruzes,SP,0.21537330005467376,0.0,12037.922054404537,5.715645828556175,5.715645828556175
Betim,MG,0.09365307542344763,0.0,9215.770961104297,5.545891604065051,5.545891604065051
Boa Vista,RR,0.422677929201435,0.0,5399.089708674709,5.64132587605167,5.64132587605167
Maringá,PR,0.5457336773435933,0.0,17185.011425704284,6.096593572301793,6.096593572301793
Santos,SP,0.34668802559136913,0.0,31662.97593498483,6.425273775736736,6.425273775736736
Diadema,SP,0.144570445885079,0.0,11572.820607612617,5.654260770601253,5.654260770601253
Jundiaí,SP,0.13332488778177712,0.00019403297834856548,24104.454797568716,6.051731491313625,6.051731491313625
Rio Branco,AC,0.44081506580102364,0.0,6541.376863145247,5.689539297436384,5.689539297436384
Montes Claros,MG,0.41713128686522183,0.0,6276.8521071769055,5.665546319970648,5.665546319970648
Campina Grande,PB,0.40991446594890113,0.0,7101.078375178214,5.686967147478503,5.686967147478503
Piracicaba,SP,0.2871802277089436,0.003957989908167632,22325.08566205594,6.231292917210071,6.231292917210071
Carapicuíba,SP,0.12267249821385887,0.0,3159.0744150477954,5.372674475483126,5.372674475483126
Anápolis,GO,0.3593196294705304,0.0,8132.967472498651,5.686422166143103,5.686422166143103
Olinda,PE,0.19718940513349226,0.0,3613.279358653304,5.436158844189519,5.436158844189519
Cariacica,ES,0.15275207379591693,0.0,4907.120283574173,5.447985915485423,5.447985915485423
Bauru,SP,0.4529976642110494,0.0,14200.631221411244,5.940771032171316,5.940771032171316
Itaquaquecetuba,SP,0.1025100399618655,0.0,3686.166154024723,5.376136786868129,5.376136786868129
São Vicente,SP,0.2967536829301595,0.0,5918.246867238882,5.574903120518637,5.574903120518637
Vitória,ES,0.5509155743813544,1.9110849052687558e-05,55592.754829054975,7.3202830300526305,7.3202830300526305
Caruaru,PE,0.3332935758676047,0.0,5610.1698448325815,5.589178201811483,5.589178201811483
Caucaia,CE,0.16985962096577847,0.0,1368.0981681566093,5.346871898046757,5.346871898046757
Blumenau,SC,0.45829928603344966,0.002725208977040427,17507.44978685545,6.146839769757074,6.146839769757074
Petrolina,PE,0.32691117057730545,0.0,4737.129595516623,5.557253669822107,5.557253669822107
Ponta Grossa,PR,0.39579834568581934,0.0,9238.656928753366,5.74554948832029,5.74554948832029
Franca,SP,0.5492293909090894,0.0,11332.531749684134,5.913056412132119,5.913056412132119
Canoas,RS,0.1993190915923588,0.0,9437.303647405985,5.6224961760089425,5.6224961760089425
Pelotas,RS,0.4879459014477527,0.0,9398.26577978396,5.811287243393588,5.811287243393588
Vitória da Conquista,BA,0.39975863222842356,0.0,6081.357021676566,5.647900517372078,5.647900517372078
Ribeirão das Neves,MG,0.1089264830251323,0.0,1430.7113571459954,5.308741987382808,5.308741987382808
Uberaba,MG,0.30842617035312214,0.0,10906.775911977595,5.740993206947052,5.740993206947052
Paulista,PE,0.16782980587168134,0.0,2536.5974254939615,5.38263981882207,5.38263981882207
Praia Grande,SP,0.28227665517213596,0.0,6771.752527834415,5.5924735918252,5.5924735918252
Cascavel,PR,0.5750394436159246,0.00034247560356033655,12014.893630252951,5.963979324665229,5.963979324665229
São José dos Pinhais,PR,0.12025649928056101,0.0,8990.716036100652,5.556260826861352,5.556260826861352
Guarujá,SP,0.1734534344319165,0.0,8004.646808851088,5.559973975926393,5.559973975926393
Taubaté,SP,0.1672300558206155,2.066403494722337e-05,12362.497590549217,5.694994900702933,5.694994900702933
Palmas,TO,0.7110571015348714,0.0,9862.602810285018,5.972927198354842,5.972927198354842
Limeira,SP,0.23491623275056905,0.0,13281.627778868213,5.768005249529573,5.768005249529573
Camaçari,BA,0.05736918276633756,0.0,7875.985449923676,5.4794591034231885,5.4794591034231885
Santarém,PA,0.30315527098168066,0.0,3780.557778938117,5.511238054425516,5.511238054425516
Petrópolis,RJ,0.1510907883031848,0.0,13025.602525199905,5.704685145963145,5.704685145963145
Mossoró,RN,0.4171916774829678,0.0,5338.625454258176,5.635793778679493,5.635793778679493
Suzano,SP,0.16646368085740473,0.0,7592.437212628997,5.542282712793933,5.542282712793933
Taboão da Serra,SP,0.1576145567645581,0.0,7534.2202212900975,5.5346078737269,5.5346078737269
Várzea Grande,MT,0.25568847191146654,0.0,4533.271255548706,5.503887660733822,5.503887660733822
Sumaré,SP,0.13407902701217023,0.00039977793677187446,6817.16123156533,5.510656537660908,5.510656537660908
Marabá,PA,0.21480624607292165,0.0,3812.419027059347,5.454081147530866,5.454081147530866
Gravataí,RS,0.1571923503169044,0.0,5131.6875411466435,5.458040248280703,5.458040248280703
Santa Maria,RS,0.598252795217584,0.0,10142.408302035004,5.9075422203973185,5.9075422203973185
