,,Tempo de Processos,Tempo de Processos,Tempo de Processos,Tempo de Processos,Tributação,Tributação,Tributação,Tributação,Tributação,Complexidade Burocrática,Complexidade Burocrática,Complexidade Burocrática,Complexidade Burocrática,Índice de Ambiente Regulatório
,,Tempo de Viabilidade de Localização,"Tempo de Registro, Cadastro e Viabilidade de Nome",Taxa de Congestionamento em Tribunais,Índice de Tempo de Processos,Alíquota Interna do ICMS,Alíquota Interna do IPTU,Alíquota Interna do ISS,Qualidade de Gestão Fiscal,Índice de Tributação,Simplicidade Tributária,CNDs Municipais,Atualização de Zoneamento,Índice de Complexidade Burocrática,
Município,UF,,,,,,,,,,,,,,
São Paulo,SP,0.1824875696527066,37.67909081891194,0.9621396769621647,5.866715011638989,0.08021034449760606,0.017532571414115822,0.030664508377993702,0.8205909466322362,5.440399318937759,0.08699200395658849,1,4.0000000000000036,8.983875522990733,7.601756302431072
Rio de Janeiro,RJ,0.003030302968484848,34.73622370893877,0.9641306520403012,11.055968331332682,0.06804473229938263,0.01162667553750622,0.0189280862878156,0.3042640315013841,4.87418639451683,0.04950128730882518,0,44.00000000000069,5.354748014190774,8.296655159139773
Brasília,DF,12.316873370621378,25.754229793207482,0.9633176483898879,6.13554914964788,0.04427516229579865,0.004628377792779046,0.008115603929398323,0.0,7.003594231154132,0.04291514989202279,0,0.0,5.030918165151581,6.118899327558421
Salvador,BA,71.67729246596873,53.97315160635543,0.9642339875765734,5.489738015505652,0.10638457822639953,0.013745906928575757,0.02059376611299106,0.940123570568697,5.299558235315929,0.03552373406362328,1,4.0000000000000036,7.479378869319675,6.187845470516836
Fortaleza,CE,11.489262912317724,49.730712045747275,0.9590853567894887,5.6457060310774265,0.09928003093971449,0.010097042318829458,0.015277626535888465,0.8108922929605835,5.373071347751929,0.029368435097656256,1,3.0,7.7809087505970265,6.5591043084633585
Belo Horizonte,MG,3.347097826097547,41.91868537182878,0.9403185539961159,6.1610829253831,0.10424010353999831,0.016903116456920657,0.019680190009900865,0.7562913210499533,4.837688008534368,0.041838165702142195,1,24.000000000000114,6.4603125813594255,5.6218157024375595
Manaus,AM,6.205113507776989,26.24464606011552,0.9680622152638151,6.017516688868891,0.12065787652521746,0.003815707757134437,0.01024990604765135,0.9140294467778187,6.090307681485755,0.018319487482080257,1,6.0,6.4950135599117,6.421476966667929
Curitiba,PR,2.958833333820721,17.67970901733133,0.9661186964049886,6.6290761611552425,0.08425029362336277,0.011113742217983306,0.018170290718621515,0.8175621861415424,5.648538287470645,0.0459461445112768,1,19.99999999999979,6.628540990637666,6.633542825849902
Recife,PE,11.964317897760061,45.12707712737543,0.9676203656715904,5.533679833301891,0.1069154929620179,0.010379411717989333,0.01829008434640439,0.7228187690130161,4.847393309356184,0.032155655976015975,1,24.000000000000114,6.177277936666901,4.9920643947905825
Goiânia,GO,9.60632582810133,13.932130395013333,0.8457268296010669,9.901730978861154,0.11479879786280624,0.01590951433147393,0.016470758718430182,0.829262613611592,4.9577708884909235,0.042648167763290244,1,11.99999999999999,6.724719553310766,8.50592521870637
Belém,PA,48.263696778987416,28.991162699648054,0.9804666994479488,5.654988709573053,0.0949895895488403,0.0067778759114430626,0.015542389792663204,0.0,3.4400676632523743,0.02242529204515648,1,21.0,5.927234349493978,3.918120591016454
Porto Alegre,RS,20.185321646675273,43.16849825083068,0.9599315467927397,5.721848640578791,0.09857742992567459,0.010974245521698232,0.014541005984962095,0.7381922430132879,5.2092876224416695,0.037037336959319676,1,0.0,6.079247610208835,5.308105242991767
Guarulhos,SP,30.760517271799152,37.67909081891194,0.9841354131719983,5.337507469519719,0.08021034449760606,0.009861047153272197,0.00922374850416163,0.5890427158722636,5.808740090625459,0.04456683215646594,0,13.000000000000048,5.523622822703731,5.07003363895115
Campinas,SP,50.832848215331786,37.67909081891194,0.9863285358482008,5.294257396791387,0.08021034449760606,0.016237314844187223,0.02167215214316222,0.7032121175959228,5.29326111241978,0.05897506958538929,1,32.000000000000036,6.901068285658924,5.642443058755704
São Luís,MA,23.615739778340473,26.273537712757285,0.9534921357163696,6.315072498696149,0.10210932464097816,0.0034857307614041743,0.021105830485857856,0.7933158481531707,5.610895161539668,0.026653090876787924,1,28.00000000000003,5.982039589960251,5.935682837465665
São Gonçalo,RJ,34.27991832796582,34.73622370893877,0.9819215512687574,5.450430744937495,0.06804473229938263,0.0044430410082520536,0.005688287393624338,0.6537635014375424,7.604128689159985,0.009293193233280378,0,2.0,6.936849080707159,7.39230260419365
Maceió,AL,0.7808449198033252,35.1570776279,0.9688905308197509,5.720666538720815,0.09883757693964955,0.007453286839573368,0.013918128757318005,0.6519733781605099,5.1342718673342524,0.019148083372547888,1,13.000000000000048,6.000740671589341,5.199942659487288
Duque de Caxias,RJ,21.424409562679102,34.73622370893877,0.9418821018129475,6.275531378080892,0.06804473229938263,0.0027997733686178075,0.008322991711961677,0.5229534938692604,7.014116700985067,0.01873282356501257,0,0.0,4.324031589934853,5.729902328475336
Campo Grande,MS,5.642805521825677,27.430234480850523,0.9678782354002882,5.970733797720925,0.1190460323551134,0.01805360035262452,0.014408515566379197,0.5843000725158481,4.310607856250684,0.025459209659358745,1,14.999999999999892,6.125968135923942,4.886463168799046
Natal,RN,8.547483554951414,28.987578696179675,0.9557395318014082,6.159396047334485,0.09572514410702306,0.009865143177744734,0.01661073072408407,0.533752982362588,4.664474401107741,0.025940350070407486,0,13.000000000000048,4.979142115922306,4.463965929001729
Teresina,PI,74.29962767119305,24.456211941915395,0.9703825986619855,6.054021523467498,0.10799616165221408,0.005050138733686097,0.01377986441090263,0.6313180652113107,5.082730764314446,0.01579310356597151,1,13.999999999999988,5.870924922228546,5.306212866706236
São Bernardo do Campo,SP,15.260925930015619,37.67909081891194,0.9811003963042204,5.397920353358204,0.08021034449760606,0.00981695763417941,0.011572089659039969,0.8770434225713464,6.330348966767453,0.03164658371736232,1,7.999999999999993,6.64385570482071,6.26017295671214
João Pessoa,PB,13.681603571290271,62.27168031280178,0.93710867355511,5.986485234357631,0.1102599184070844,0.005656630198416106,0.01397377364452887,0.7499001398338523,5.283051943532803,0.02282963085811163,1,44.999999999999474,5.792323514104927,5.344095502293549
Nova Iguaçu,RJ,21.911743120005735,34.73622370893877,0.9825361345310099,5.438555891552586,0.06804473229938263,0.00561423904974628,0.00747904058851624,0.7905304834500522,7.355976851171429,0.007812558399215,1,5.0,6.380463363159735,6.821504038964015
São José dos Campos,SP,2.3209805377284702,37.67909081891194,0.9727572754858008,5.570284532727771,0.08021034449760606,0.007086481875961385,0.008841738918154386,0.7939265439152722,6.525076593513057,0.031110415698497127,1,10.000000000000009,6.483745069483031,6.4048848131444815
Santo André,SP,5.008913685705161,37.67909081891194,0.9769914000546494,5.481725956805304,0.08021034449760606,0.011388429633532569,0.01774229544294387,0.7514098000676521,5.614310738576714,0.03673655208162806,1,4.0000000000000036,7.514831404510674,6.427091297429176
Ribeirão Preto,SP,18.36257535766023,37.67909081891194,0.9781448116911723,5.4564219447618125,0.08021034449760606,0.012169723596112441,0.0108290097468451,0.7589675899584307,6.024341740907263,0.04281109878582534,1,13.000000000000048,6.6924469904354815,6.121101056675042
Jaboatão dos Guararapes,PE,31.93613140656934,45.12707712737543,0.9279882074564121,6.373751556691252,0.1069154929620179,0.009133726187423223,0.008482167947504879,0.6560146240685404,5.421679919136741,0.02077454340819562,1,6.9999999999999885,6.429218980939836,6.157065420613523
