,,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Qualificada,Acesso e Qualidade da Mão de Obra Qualificada,Acesso e Qualidade da Mão de Obra Qualificada,Acesso e Qualidade da Mão de Obra Qualificada,Índice de Capital Humano
,,Nota do IDEB,Proporção de Adultos com pelo menos o Ensino Médio Completo,Taxa Líquida de Matrícula no Ensino Médio,Nota Média no ENEM,Proporção de Matriculados no Ensino Técnico e Profissionalizante,Índice de Acesso e Qualidade da Mão de Obra Básica,Proporção de Adultos com pelo menos os Ensino Superior Completo,Proporção de Alunos Concluintes em Cursos de Alta Qualidade,Custo Médio de Salários de Dirigentes,Índice de Acesso e Qualidade da Mão de Obra Qualificada,
Município,UF,,,,,,,,,,,
Porto Velho,RO,4.4,0.4868522815158546,0.622368760333822,516.7832025792584,0.007095417832825973,4.685565319878851,0.2617942768754834,0.125189845953569,4343.282239408204,5.73229090098191,5.054617499744107
Rio Branco,AC,4.8,0.4368421052631579,0.6621572928828772,522.8335085227272,0.011127493751838127,5.028784833388496,0.28005540166204984,0.16374269005848,4282.1909120455,6.0392439888189955,5.443116830565643
Manaus,AM,4.8,0.48058668801463855,0.8155083109188797,496.0539438489025,0.006857971214496783,5.188465518220051,0.16571363220494054,0.102099927588704,5868.2571910316055,4.388369980656556,4.552080193464041
Boa Vista,RR,4.3,0.5448387096774193,0.6438440924401752,515.7249270072992,0.010395982721357626,5.125868415066841,0.2970967741935484,0.079360100376412,3852.5261143410853,6.083940147308698,5.527834848619995
Ananindeua,PA,4.3,0.5202137546468402,0.7000250249183634,522.1077079796265,0.00643282775784888,5.081404487429444,0.1779739776951673,0.03186022610483,4041.362663615561,5.018545399505744,4.864658098597105
Belém,PA,4.1,0.5341328413284133,0.7580947367436189,542.607160532498,0.01301134156354599,5.778852897699874,0.27556668423827096,0.189155107187894,4973.777240320824,5.760644701087413,5.724834798725329
Marabá,PA,4.3,0.47549441100601897,0.7168160232876102,523.1918818380743,0.009991681863242464,5.074412160284617,0.1874462596732588,0.137648131267092,5194.21580587178,4.91029646208969,4.795797685112758
Santarém,PA,4.6,0.5109135004042037,0.9155517312421412,528.3953427419355,0.011450186810543491,6.166699368760134,0.23767178658043653,0.036175710594315,3436.771436507936,5.881922382732804,6.029053082026604
Macapá,AP,3.8,0.5216836734693877,0.5656897290717334,512.0026363636364,0.007270009382244749,4.303768510256049,0.32474489795918365,0.070241392956074,3343.8338166980534,6.649490030719534,5.374537844978678
Palmas,TO,5.4,0.5410844046953605,0.7269412773938869,540.1863999999999,0.0068083298924929295,6.131351716595374,0.37031861375069874,0.181041181041181,4441.99941446965,6.577736237992034,6.423703175557083
São Luís,MA,4.2,0.5855722260990928,0.710917361760758,536.9696161869003,0.019676118780905173,6.172676323240464,0.2643056524773203,0.145825911411946,4463.385633287156,5.764657172571383,5.962554720251831
Teresina,PI,5.6,0.49935850439882695,0.8009620802116174,568.2664621244181,0.021125644667475924,7.252824847830142,0.29609604105571846,0.191104658835951,3646.3740036341615,6.69569631895927,7.164304936598805
Caucaia,CE,4.2,0.2700278995615783,0.4969022643256292,479.64435126582276,0.00521559071962784,2.50728380010426,0.029294539657233956,0.0,3334.7125456836793,4.5395423613650685,3.0403171131388653
Fortaleza,CE,5.1,0.2809990276227176,0.6767042103332217,527.8807837805887,0.012558407118037176,4.56787886880888,0.12185327907228005,0.291926433915212,4173.033050810131,5.6503425457894085,4.935329193099058
Mossoró,RN,3.9,0.48533333333333334,0.6450968508490205,551.5479414032383,0.028885766756645795,5.885364955382016,0.21966666666666668,0.160631143300569,2936.8672139117425,6.821205498625467,6.422198886867253
Natal,RN,3.4,0.5266829865361078,0.6621309456801624,576.2390932275432,0.021118424798961446,5.854515141536867,0.31297429620563033,0.283192045382115,3650.039753942512,7.1743953298062975,6.614807558430039
Campina Grande,PB,4.1,0.4724919093851133,0.6839795569176899,557.8535559736595,0.015259965963658919,5.531944514649546,0.2342233009708738,0.293563579277865,3439.5155948248657,6.9120054635965005,6.265274588793147
João Pessoa,PB,4.2,0.5228360156589822,0.6670987508323595,562.7760801217039,0.01681808540138147,5.926521270954354,0.3243801652892562,0.231046654389196,3784.440050511125,6.9252311345140924,6.5089498371120325
Caruaru,PE,4.8,0.47078804347826086,0.5785142267100051,551.9719086460033,0.015252876265760901,5.507388130309606,0.21433423913043478,0.175603906116156,2972.75339800995,6.804548876968961,6.186392533821289
Jaboatão dos Guararapes,PE,4.5,0.5013171759747103,0.5536901932123548,514.1964262078094,0.006407397986287876,4.539259948212937,0.14199157007376184,0.011643379906853,5262.123666504144,4.0854251701363475,3.983139292370815
Olinda,PE,4.4,0.5494166094715167,0.6249274012018832,537.1555501618122,0.006899126853865205,5.272076554817365,0.2539464653397392,0.041149575440888,3565.632364774251,5.888249324998441,5.498267332206828
Paulista,PE,4.2,0.579593267882188,0.6063797702794583,521.0739894551846,0.010588742401859171,5.2119758973940105,0.1665497896213184,0.0,4120.66514937107,4.765230659941258,4.791314956616649
Petrolina,PE,5.0,0.46161879895561353,0.773583113040929,535.4893475177305,0.011838574959586292,5.806462557230422,0.22767624020887728,0.18539755351682,3652.73349108118,6.243030831229963,6.029573913537916
Recife,PE,4.8,0.5301774519179683,0.7351099630021196,561.618493765586,0.04344290190127016,7.662512264661682,0.32956115184358725,0.256814395201599,5330.132859174964,6.225481785487887,7.128138010674168
Maceió,AL,4.2,0.4979200369771204,0.5892975339957046,547.7776686454398,0.014929700105678654,5.279750083131201,0.2847238271319621,0.140383080606544,4496.433634936492,5.850929238995604,5.480552547241294
Aracaju,SE,3.7,0.5314310544611819,0.7005684556597069,563.5633784229627,0.011406904525199485,5.569798632779858,0.3070683661645423,0.057093248902053,3829.698970545348,6.071471306918395,5.785647091119924
Camaçari,BA,4.2,0.5572478991596639,0.9068527805061253,519.386397515528,0.018007661420080007,6.328170529950579,0.11554621848739496,0.208904109589041,7900.881596583442,4.035699531458213,5.022359009033684
Feira de Santana,BA,3.6,0.5346777233320769,0.7520295397217094,547.6555882352942,0.012296452328522998,5.521378152198109,0.21108179419525064,0.309677419354839,3711.987337587008,6.6013410045232135,6.07332869789724
Salvador,BA,3.7,0.5391407485503427,0.7864282648391121,553.6448669114272,0.015101977973801632,5.9072902460319785,0.2790810050957653,0.244428423659217,5490.4680600323745,5.802005731719005,5.8262948671215335
Vitória da Conquista,BA,4.5,0.4440807419530824,0.8353554401473898,546.2027543252595,0.010950223177280997,5.731574819490129,0.2133115111838516,0.199205621753743,3458.4657864476385,6.378589262933193,6.065826631595024
Belo Horizonte,MG,4.7,0.5320078962210942,0.6801942618180751,601.853085177733,0.011517166512418275,6.566760572456844,0.42103778905809364,0.432178521871659,5902.227848148279,7.3118538793845875,7.1225333948251786
Betim,MG,5.1,0.5166959578207382,0.5597183844928023,554.4577278401997,0.008222442629921544,5.573634057359082,0.2047451669595782,0.209601081812035,6982.715705394192,4.773293267050727,5.012235171190078
Contagem,MG,4.7,0.5516216216216216,0.5423945141974535,567.3346243969676,0.007052045671424884,5.595356473344589,0.24756756756756756,0.171046344959388,5323.034589949561,5.368788678569975,5.3810429500168615
Juiz de Fora,MG,4.2,0.5024498886414254,0.6114800727536471,591.8393595041323,0.004739738925997044,5.497928430214474,0.377728285077951,0.492183960126869,4334.689368208631,7.958684933291248,6.870373983486108
Montes Claros,MG,4.9,0.5528169014084507,0.6340235511344936,579.2948534667619,0.007107600250188816,6.152963477003541,0.3703051643192488,0.10125348189415,3939.8125742827865,6.564506470731155,6.4287116897915
Ribeirão das Neves,MG,4.2,0.388996138996139,0.5736111918204055,540.2896829971181,0.0027306391394128866,4.037051218543608,0.14768339768339767,0.0,3758.8255971337576,4.903584653585799,4.17193017061128
Uberaba,MG,5.1,0.5031670625494853,0.6467846994898673,574.6754020618557,0.008242066287372929,6.037394374921037,0.30958036421219315,0.165066798614547,4592.806310703068,6.055075928517785,6.055254021674298
Uberlândia,MG,4.8,0.5272758860319666,0.6362516947564478,572.5278706896552,0.006693452579896565,5.866881862049821,0.3537178596247394,0.444194463464736,5271.376754519345,7.165376175298553,6.616807838279129
Cariacica,ES,4.3,0.46872525732383213,0.5371688121748496,524.2036248682823,0.014294944136691672,4.688587806500694,0.15003958828186856,0.416260162601626,3959.811004016065,6.475196599675048,5.5003339144861805
Serra,ES,4.5,0.5044937088076693,0.5462876337051208,535.0877258566978,0.01536794060553987,5.2001395681622515,0.18573996405032955,0.448818897637795,5430.606398669796,6.082373822493139,5.571278354353257
Vila Velha,ES,4.6,0.5453534904401957,0.605764396532045,563.8344285714286,0.011483698806119285,5.85278064403828,0.30168963983992886,0.590093085106383,3597.915628200078,8.404574065805809,7.3488430493452706
Vitória,ES,4.6,0.5301489284417,0.9347666983607769,585.2184249242753,0.027649485400380387,7.780033817378267,0.39575009081002543,0.560372110866021,6026.568297392177,7.641864549155262,8.044695858890284
Belford Roxo,RJ,3.8,0.47731092436974787,0.4562889718702676,491.09637254901963,0.003414065205704268,3.295887998254337,0.08151260504201681,0.0,4078.012111200645,4.265893854972379,3.348019931184556
Campos dos Goytacazes,RJ,3.6,0.5327433628318584,0.6467508242398062,556.0550112359549,0.017921107250038613,5.544283666869314,0.26489675516224187,0.233340168136149,3508.8570580186097,6.792725005339718,6.201373671180648
Duque de Caxias,RJ,3.8,0.5305517555859554,0.6738481836674651,530.931734870317,0.02119456520971522,5.543100356899891,0.15777473780209758,0.080941704035874,4864.307835970176,4.6368656931693435,4.912470365321501
Niterói,RJ,3.8,0.5617666232073012,0.9380778981366512,586.1424155653451,0.009952897649863412,6.743704440832548,0.4473598435462842,0.346489283074649,5412.621067867868,7.291587926245381,7.216153558298403
Nova Iguaçu,RJ,3.8,0.5558307068887889,0.7443074268432175,533.5281087333719,0.01666901858180546,5.724708021811202,0.20576316974335884,0.102029720913374,3544.284550529355,5.857363071836865,5.750273850186261
Petrópolis,RJ,4.2,0.5310008857395926,0.5777760926377173,569.1802586206898,0.0088564693940481,5.426090975401116,0.2763507528786537,0.154309371471584,4574.577828376704,5.814543096410229,5.546254095698751
Rio de Janeiro,RJ,4.9,0.5568017216405248,0.7640389930227934,571.7787473408201,0.011213802774712232,6.656916496376582,0.3586682117286761,0.292525369392822,8535.625224455074,5.782181124168997,6.262375146836298
São Gonçalo,RJ,3.6,0.5814688715953308,0.4526703331202888,541.3675174825175,0.006130440440517903,4.485190794157441,0.1962548638132296,0.005629045876724,4014.582375979113,5.04247553192657,4.522700009359998
São João de Meriti,RJ,3.7,0.5437448896156991,0.7275524413296378,525.9283387622149,0.008944692452965995,5.116392462095111,0.14677023712183157,0.0,3565.662611085663,5.0554210946991,4.9075989847445385
Bauru,SP,4.9,0.5938880706921944,0.7840118421965854,568.6035579514825,0.011389860399533665,6.875224123749752,0.41936671575846834,0.387298453438631,5138.5910367431425,7.392861678926933,7.355255227243589
Campinas,SP,5.2,0.5989808917197452,0.7069895235157333,583.557374284854,0.011140926902717981,7.0138325779760855,0.4569426751592357,0.396542291279133,8214.346438621305,6.867322351888365,7.124051413286531
