,,Iniciativa,Iniciativa,Iniciativa,Iniciativa,Instituições,Instituições,Instituições,Instituições,Instituições,Índice de Cultura
,,Pesquisas pelo Termo Empreendedora,Pesquisas pelo Termo Empreendedorismo,Pesquisas pelo Termo MEI,Índice de Iniciativa,Pesquisas por Sebrae,Pesquisas por Franquia,Pesquisas por SIMPLES Nacional,Pesquisas por Senac,Índice de Instituições,
Município,UF,,,,,,,,,,
Ananindeua,PA,75.0,66.99,74.0,7.740454508665085,72.0,37.0,36.800000000000004,32.300000000000004,6.7409117191490235,7.320411537929839
Anápolis,GO,38.35,40.300000000000004,63.08,6.354911269657602,34.16,38.22,37.800000000000004,17.64,5.845070468864715,6.1064164539519625
Aparecida de Goiânia,GO,59.0,41.6,80.50999999999999,7.054790491825114,34.769999999999996,34.32,36.0,25.56,5.913981434383877,6.515513435562361
Aracaju,SE,85.0,36.26,69.0,7.055237869967916,57.99999999999999,54.0,45.56,41.16,7.11876740538736,7.156855290816223
Bauru,SP,0.0,0.0,71.25,5.0346697509030305,39.33,58.74,0.0,7.15,5.475271582109309,5.207093804199927
Belford Roxo,RJ,0.0,34.720000000000006,60.0,5.608543008061616,20.67,50.56,19.47,31.28,5.805243357952614,5.6880576364221485
Belo Horizonte,MG,32.76,28.14,50.730000000000004,5.724730145342943,33.5,50.4,33.6,11.200000000000001,5.853191904768106,5.775399298704047
Belém,PA,69.0,56.980000000000004,65.86,7.245090960976034,72.0,37.74,35.2,34.0,6.761597506232829,7.067820854266832
Betim,MG,29.64,32.830000000000005,49.84,5.77104796966732,20.0,43.4,24.8,9.520000000000001,5.324457097775332,5.518690336170213
Blumenau,SC,52.199999999999996,34.809999999999995,71.28,6.600188833546628,39.01,41.34,43.32,16.74,6.05418885771268,6.348214561807686
Boa Vista,RR,82.0,67.0,55.00000000000001,7.4337778624940745,93.0,74.0,66.0,100.0,9.559368099583095,8.657007041117993
Brasília,DF,67.0,50.160000000000004,80.0,7.359391061471386,76.0,83.0,77.0,37.230000000000004,8.367399492536,7.983140252252977
Camaçari,BA,0.0,29.45,56.25,5.404475399594599,41.18,49.92,28.799999999999997,17.94,6.030802043529274,5.699493701707485
Campina Grande,PB,61.1,65.0,64.8,7.2974537462919375,45.650000000000006,29.07,45.14,14.25,5.9314340342698495,6.6539291081204865
Campinas,SP,16.529999999999998,0.0,69.35,5.230751273813854,30.779999999999998,69.42,46.980000000000004,5.2,6.2400664852728065,5.7184058005072975
Campo Grande,MS,64.0,21.12,73.03999999999999,6.485606958262822,48.8,37.96,42.089999999999996,25.56,6.315514076952363,6.426301223220998
Campos dos Goytacazes,RJ,0.0,0.0,0.0,3.5077077339975764,0.0,0.0,0.0,0.0,3.6301651110967197,3.4127121090565478
Canoas,RS,0.0,38.76,69.0,5.8962521728219315,29.759999999999998,43.07,38.71,25.83,6.032015163544306,5.961828836208552
Carapicuíba,SP,0.0,0.0,0.0,3.5077077339975764,0.0,0.0,0.0,0.0,3.6301651110967197,3.4127121090565478
Cariacica,ES,0.0,0.0,0.0,3.5077077339975764,0.0,0.0,0.0,0.0,3.6301651110967197,3.4127121090565478
