,,Transporte Interurbano,Transporte Interurbano,Transporte Interurbano,Transporte Interurbano,Condições Urbanas,Condições Urbanas,Condições Urbanas,Condições Urbanas,Condições Urbanas,Índice de Infraestrutura
,,Conectividade Via Rodovias,Número de Decolagens por Ano,Distância ao Porto Mais Próximo,Índice de Transporte Interurbano,Acesso à Internet Rápida,Preço Médio do m²,Custo da Energia Elétrica,Taxa de Homicídios,Índice de Condições Urbanas,
Município,UF,,,,,,,,,,
Ananindeua,PA,2,11119,18,5.564321999,1.066862197,1784.451941,0.76597,43.85559113,4.421595498,4.498362342
Anápolis,GO,6,7909,889,5.62410706,1.920035508,1806.422045,0.63689,24.71464671,5.459627027,5.316860458
Aparecida de Goiânia,GO,3,7909,853,5.001870286,2.498361702,1575.715014,0.63689,31.56964263,5.687051422,5.022500551
Aracaju,SE,3,3461,216,4.934323567,2.662583592,2902.416252,0.67799,49.8056835,5.199087097,4.608328688
Bauru,SP,4,593,347,5.047948039,4.469560342,1179.121871,0.67864,11.00323285,6.84714139,5.921781921
Belford Roxo,RJ,5,42453,30,6.690041792,1.302352889,624.9522018,0.8022,27.56002554,5.389591505,6.059372124
Belo Horizonte,MG,8,30048,337,5.864834108,3.925975451,4005.256638,0.61805,15.80589726,6.234013541,6.073697751
Belém,PA,2,11119,23,5.411160306,1.920423919,1829.891943,0.76597,24.09686542,4.872879814,4.720633355
Betim,MG,5,30048,334,5.24233329,2.310996747,1004.986579,0.61805,26.44303415,6.082439173,5.49657122
Blumenau,SC,2,5505,46,4.994877655,4.315882408,951.3069445,0.53224,8.187370708,8.096894155,6.813991315
Boa Vista,RR,3,1259,698,4.83863557,1.695181531,1705.026919,0.58017,30.00519937,5.691428,4.904060835
Brasília,DF,13,38790,880,7.850897533,3.110341674,1343.337221,0.57487,14.63970333,6.662620813,7.874001585
Camaçari,BA,3,20480,38,5.635550278,1.572174717,1490.337522,0.74949,78.58787612,4.701317802,4.760020249
Campina Grande,PB,4,873,128,5.117489619,2.393200106,2261.663393,0.568994603,25.61438272,5.949027648,5.304024129
Campinas,SP,10,49496,142,7.571066695,3.848489704,1796.34118,0.67864,13.08004908,6.248778862,7.356820595
Campo Grande,MS,6,3959,759,5.527630389,3.029363505,827.3462826,0.81256,17.68557021,5.820318527,5.513850867
Campos dos Goytacazes,RJ,9,261,150,6.125696773,1.873910653,2138.342785,0.83802,26.03746675,4.513828364,4.985671995
Canoas,RS,5,18869,17,6.422688103,3.808025094,2574.762757,0.64309,15.72650746,6.172633801,6.44385361
Carapicuíba,SP,2,36387,72,5.668701587,2.406112858,1786.621812,0.59449,9.374036386,6.385961687,6.040755247
Cariacica,ES,1,9029,18,5.304369113,1.937642143,1098.754031,0.61051,42.43263173,5.805226533,5.336142036
Caruaru,PE,5,408,120,5.320062647,1.451027906,1722.737911,0.7358,44.67392099,4.701920152,4.525251517
Cascavel,PR,5,959,474,5.254934619,3.695807161,843.1282488,0.55881,19.63859043,7.256402002,6.381236779
Caucaia,CE,4,13382,38,5.665407752,1.442781323,1972.175746,0.73145,81.58994682,4.578103085,4.690415974
Caxias do Sul,RS,3,426,100,4.926423852,3.623179357,784.0684442,0.64309,20.81280694,6.764316047,5.769425228
Contagem,MG,3,30048,340,4.826437359,2.4156495,2950.76033,0.61805,13.20770677,5.826370819,4.995575419
Cuiabá,MT,5,8574,1142,5.429987403,3.361573024,844.7017363,0.82512,19.40302816,5.847122852,5.461035751
Curitiba,PR,9,13739,60,6.590044691,4.132942172,2789.359336,0.55881,14.51322639,6.831111895,7.059570422
Diadema,SP,2,36387,44,5.780788098,2.445445233,2696.657096,0.59449,12.105692,6.05888942,5.880468513
Duque de Caxias,RJ,9,42453,34,7.470761055,1.93189083,1148.032774,0.817278973,36.68840356,4.87455175,6.257454553
Feira de Santana,BA,5,20480,91,5.856405203,1.214029005,1179.338875,0.74949,82.51790158,4.714894395,4.934805142
Florianópolis,SC,7,8633,70,6.016754334,5.42114984,3512.080298,0.53224,13.55212923,7.493301658,7.125851071
Fortaleza,CE,9,13382,10,7.637920009,2.46389553,3355.099201,0.73145,48.75358392,4.845971573,6.360774606
Franca,SP,5,3320,395,5.319412192,3.835320565,2076.028614,0.67864,6.69383247,6.713705598,6.0246916
Goiânia,GO,11,7909,871,6.662466571,3.465832404,1895.993924,0.63689,28.54156462,5.987586122,6.484659195
Gravataí,RS,4,18869,32,5.865393502,2.407127649,1214.938498,0.64309,18.90994663,5.939213228,5.854320817
Guarujá,SP,2,36387,6,7.606197003,4.071349665,4868.488474,0.622065737,9.8468507,6.508747429,7.576837194
Guarulhos,SP,6,83133,64,7.691832097,3.067656728,2552.956275,0.63592,7.902076894,6.393949786,7.5550945
Itaquaquecetuba,SP,5,83133,56,7.512526719,1.940229291,871.3398217,0.63592,13.45355358,6.241380854,7.307659272
Jaboatão dos Guararapes,PE,9,30800,18,7.510484576,0.708806039,3165.385261,0.7358,39.08172016,4.21024645,5.791785685
Joinville,SC,3,1092,31,5.225374574,3.8124384,1867.422061,0.53224,12.23731123,7.156291163,6.284558176
João Pessoa,PB,3,4193,22,5.470388004,3.153760735,3755.256993,0.59692,35.48091781,5.823196964,5.473318788
Juiz de Fora,MG,3,42453,131,5.94889718,3.950650354,1240.731597,0.61805,12.81314282,6.838904069,6.58736026
Jundiaí,SP,6,367,106,5.540606767,3.979519131,1907.075744,0.61994,9.36910771,6.803133503,6.25628212
Limeira,SP,8,49496,187,7.134349494,2.844183884,637.2772839,0.62258,7.078894277,7.522207668,7.980646904
Londrina,PR,6,2500,325,5.513404938,4.024804173,1642.710096,0.55881,19.97004493,6.870579916,6.286287238
Macapá,AP,3,1724,87,4.977879511,1.911679177,1810.677409,0.53981,41.54247,5.962764672,5.210177049
Maceió,AL,4,6969,12,6.227891177,1.665364479,3391.702463,0.75049,41.97375526,4.485227692,5.040541207
Manaus,AM,4,10526,60,5.47151671,2.14419104,1547.733014,0.80372,36.30475246,4.806783453,4.716353821
Marabá,PA,2,1048,476,4.63421221,0.892607347,896.6071685,0.76597,53.18705156,4.811367454,4.095503156
Maringá,PR,5,2267,402,5.292482819,4.246767261,1387.971215,0.55881,9.622610385,7.448604503,6.5525318
Mauá,SP,1,36387,36,5.637224592,2.227978619,2535.838362,0.59449,8.718667289,6.232024023,5.902515809
Mogi das Cruzes,SP,3,83133,45,7.152657848,3.236472946,1716.9036,0.637558772,9.438372912,6.465173205,7.206204825
Montes Claros,MG,4,1153,539,5.048953563,1.665359612,1932.348804,0.61805,7.904608147,6.069006694,5.342378432
Mossoró,RN,5,283,33,5.595547311,2.263035235,611.2444951,0.67223,66.49286354,6.167962791,5.823680442
Natal,RN,4,4193,7,6.913240053,2.895833426,1745.921848,0.67223,34.23634003,5.583135783,6.370082481
Niterói,RJ,5,42453,7,8.078999545,4.381449222,3777.303337,0.83802,15.66788721,5.48106459,7.163135596
Nova Iguaçu,RJ,7,42453,42,6.98448874,1.989872642,2251.872005,0.8022,30.8945611,4.611632926,5.698880798
Olinda,PE,3,30800,7,7.371947166,1.198095669,2741.23965,0.7358,30.7314075,4.491058362,5.897861156
Osasco,SP,3,36387,70,5.881346984,3.555954424,3993.534649,0.59449,11.83300353,6.391811972,6.203658874
Palmas,TO,4,1811,944,5.055337614,2.276404265,1359.166491,0.66799,33.82809583,5.512680246,4.93235838
Paulista,PE,6,30800,14,7.088943977,0.851756654,2422.807916,0.7358,27.00945925,4.433608835,5.644030135
Pelotas,RS,3,255,19,5.462786147,3.548765946,1083.566256,0.6297,11.34294672,6.79538738,6.192486202
Petrolina,PE,4,1464,480,5.059633975,1.133641463,1318.926989,0.7358,40.90468929,4.751348739,4.367936376
Petrópolis,RJ,4,42453,54,6.294550507,3.978550777,1686.230611,0.826959994,7.813924413,6.121041369,6.309852457
Piracicaba,SP,7,49496,205,6.920781884,3.885961855,957.5336528,0.67864,7.555907623,7.100407935,7.506936653
Ponta Grossa,PR,5,8,144,5.292431838,3.55790914,301.9423574,0.55881,16.1632826,9.144902803,7.817201369
Porto Alegre,RS,5,18869,6,7.790331926,4.036314178,2388.154335,0.6297,21.70810637,6.231289087,7.507258138
Porto Velho,RO,3,2385,54,5.083513207,2.617598624,1510.454208,0.54603,31.1502645,6.340654835,5.570677491
Praia Grande,SP,2,18,24,5.110183311,4.514477462,4556.532076,0.620542118,11.29426311,6.603592864,5.786600364
Recife,PE,9,30800,7,8.617624814,1.708743499,6278.228402,0.7358,46.29693736,4.425957903,6.778063016
Ribeirão Preto,SP,7,3320,344,5.739397945,4.134464447,2074.39534,0.67864,9.859522632,6.476119859,6.160683413
Ribeirão das Neves,MG,2,30048,351,4.617655491,1.977675263,1116.566886,0.61805,19.624211,5.964521725,4.942915158
Rio Branco,AC,4,1319,504,5.054744621,2.10645795,1013.880874,0.64018,49.58851072,5.742665149,5.103385897
Rio de Janeiro,RJ,4,42453,24,6.588110418,3.049845171,4252.999939,0.8022,16.08722879,5.052555871,5.732091893
Salvador,BA,5,20480,5,8.253402529,2.033387707,2715.690053,0.74949,44.71921882,4.683314431,6.698387211
Santa Maria,RS,5,266,184,5.27974773,3.781329013,942.561639,0.644020688,18.93680368,6.666982852,5.960283968
Santarém,PA,2,2031,80,4.790709454,0.970733511,4812.757517,0.76597,15.56728147,4.38047642,3.890923628
Santo André,SP,3,36387,30,6.122904854,4.011396775,4317.442109,0.59449,7.874135399,6.861408367,6.733873512
Santos,SP,3,36387,10,6.968357399,4.7920579,5863.25042,0.620119901,5.299649071,7.404722622,7.76929511
Serra,ES,4,9029,18,5.927207937,2.367455032,1732.735725,0.61051,38.00545863,5.698144519,5.720674371
Sorocaba,SP,7,49496,130,6.95647172,3.85770888,1626.861248,0.620400308,10.49864237,6.748658298,7.271292235
Sumaré,SP,2,49496,159,5.90061447,3.278599396,2388.958524,0.67864,11.38421734,5.993759714,5.921248656
Suzano,SP,4,83133,39,7.40362733,2.270256463,1372.936424,0.637468135,9.22883219,6.241846619,7.226814514
São Bernardo do Campo,SP,8,36387,31,7.147333229,3.139212401,3077.512386,0.59449,7.765857056,6.622811275,7.319765027
São Gonçalo,RJ,5,42453,14,7.173157532,1.030252459,1714.994034,0.83802,41.33446593,4.188121052,5.523789055
São José do Rio Preto,SP,5,2559,472,5.295116844,3.873539185,1843.83165,0.685554926,9.804485765,6.400313438,5.772922233
São José dos Campos,SP,7,11,104,5.741605147,3.903950848,2155.607293,0.63592,8.273317872,6.735023032,6.355359238
São José dos Pinhais,PR,3,13739,47,5.402829187,3.456308649,1124.128912,0.55881,17.93078716,6.94097847,6.256332361
