,,Inputs,Inputs,Inputs,Inputs,Inputs,Inputs,Output,Output,Output,Output,Output,Índice de Inovação
,,Proporção de Mestres e Doutores em C&T,Proporção de Funcionários em C&T,Média de Investimentos do BNDES e FINEP,Infraestrutura Tecnológica,Contratos de Concessão,Índice de Inputs,Patentes,Tamanho da Indústria Inovadora,Tamanho da Indústria Criativa,Tamanho das Empresas TIC,Índice de Output,
Município,UF,,,,,,,,,,,,
São Paulo,SP,5.461582287184927,0.07318768278097038,32640.929678591776,0,279.2322351230821,7.986469406866702,7.736586707530304,0.011013536079841261,0.02078151706253315,0.024997544252568712,7.572596099629207,7.93368186728581
Rio de Janeiro,RJ,17.624824191279888,0.06994815610184565,4145.1083132032345,1,213.16807313642755,7.45643525312364,7.761954992967651,0.004166666666666667,0.022213431786216598,0.018442334739803095,6.9328525864501245,7.298127995306003
Brasília,DF,10.24123397004753,0.047515932591814546,4353.475985651511,1,162.31728096134876,6.6630678541410475,4.806743789794637,0.002457178728365169,0.015245269482557618,0.017505156488207337,6.0178624495634585,6.369957388745898
Salvador,BA,8.807500581140069,0.04790534675111725,32.06033525324793,1,130.2270320531033,6.20039769929647,5.21734638530878,0.0017046775318335615,0.016891804633623473,0.014489759020585273,5.910236952375998,6.060109098706408
Fortaleza,CE,15.082849454751452,0.0551546863707291,195.3897512155974,1,138.79053958362837,6.521369825014366,5.334466317329935,0.004555539819666714,0.015413303120426757,0.017278005948165982,6.129553003286869,6.3536539768068865
Belo Horizonte,MG,15.024207402779947,0.07332209587760384,5159.22181055755,1,197.01702327034204,7.326249283246169,9.792284866468842,0.006012806496954553,0.01660159300327971,0.0214899265969077,7.022748328897657,7.276237844066051
Manaus,AM,16.11885504502954,0.13120199810847294,1335.4464549991394,0,118.45350771525268,6.283877641361687,3.5564733551310734,0.011415132220501348,0.014856880628692708,0.020707852922618022,6.416535125992986,6.3805424388444765
Curitiba,PR,19.99292980871205,0.07533540762621539,341.6673512313916,1,232.76640873561414,7.56696285992764,12.058604030009034,0.009073412152873246,0.017125574453042147,0.021092737342393652,7.342523349048026,7.580757846447592
Recife,PE,34.891480504623594,0.0517981012206093,3086.421101401379,1,135.8797546792081,7.17674290694673,7.944326162254917,0.005306809876386285,0.01572976580126474,0.021926340207823573,6.7965388298447404,7.072107019810568
Goiânia,GO,10.095986472372806,0.04552706201454815,68.23745561247327,0,193.61416422141542,5.891087519513723,4.625254886357985,0.007907693837966877,0.015442383249614562,0.015715919828915303,6.047370720948541,5.966563643101881
Belém,PA,41.38530453968041,0.03732370410050479,28.710637159858262,1,79.9625593367654,6.690649255304226,6.685832720465334,0.0023400414521628668,0.014173965367386509,0.013906532058567895,5.8265205531562545,6.280984398601953
Porto Alegre,RS,23.499523658304227,0.0656792423053584,2923.888433100455,1,194.53265586958824,7.401007137736363,8.124272255742564,0.00751561342225045,0.017307081613210543,0.023605377368476767,7.133513689586774,7.37703477418662
Guarulhos,SP,0.0,0.08927690159737132,1069.1650902285044,1,131.90681043633722,6.350874165187711,4.804737694843287,0.03028102128610537,0.009609475389686574,0.008883177831163751,5.816275859547344,6.090814561113479
Campinas,SP,34.12707542467119,0.10719113057780193,2322.4239675601057,1,195.17619540626558,8.054102050436912,15.26132136968442,0.00958625714176157,0.01691015759806741,0.020667970397637948,7.6132164153271376,7.992496964685612
São Luís,MA,13.756316676024706,0.053483261249696656,6.994946659180235,1,60.78046041549691,5.862131560939091,8.141493542953397,0.0023161145423919146,0.014668725435148793,0.012142055025266704,5.8583130310558404,5.84811428101718
São Gonçalo,RJ,0.0,0.05370802055932191,0.0,0,79.0610599078341,4.78142676374711,1.728110599078341,0.005904377880184331,0.010368663594470046,0.009216589861751152,4.820075928438953,4.696868393012543
Maceió,AL,14.034367084274663,0.041056589149709506,0.0,0,106.04504689532416,5.295659090572764,8.557540905045526,0.0034230163620182106,0.014582049702197576,0.014376668720476484,6.106172858022606,5.675008309771286
Duque de Caxias,RJ,5.716463414634147,0.0538804567758229,2183.8290142276423,0,123.72967479674797,5.384547887855686,6.097560975609756,0.018673780487804877,0.010289634146341464,0.01016260162601626,5.716327192198279,5.511494927263584
Campo Grande,MS,11.429839649336959,0.044212611722479596,17.013760195306,0,114.35388115186151,5.3099223101795605,6.380735726571603,0.004327803362370305,0.017588636741940854,0.01486988847583643,6.18606693714059,5.726165070129984
Natal,RN,26.216065105299123,0.04392861392687051,5295.540080760391,0,105.54761756849102,5.89567588555236,6.088090948623966,0.0019879480648568055,0.015282350748586693,0.0172702988134435,6.108139584392563,6.002072989394043
Teresina,PI,18.18963047837296,0.04250907816498847,12.404898309939846,0,78.98882841592666,5.224663085428288,3.5090232025207677,0.00365224863935835,0.012317387568032082,0.013749641936407906,5.420533172788759,5.2639193000423425
São Bernardo do Campo,SP,4.607946819761294,0.14341555427405908,1357.3562630306694,0,168.0012086417888,6.428062633124972,6.269829279347333,0.023341894546003928,0.012615198670494033,0.01865840761444327,6.732037277733228,6.630295834053079
João Pessoa,PB,22.337559950068982,0.04520378003533064,29.303987911438146,0,109.848235989751,5.608101369937041,17.870047960055185,0.0019709611720649103,0.014388016556073845,0.014453715261809342,6.934751681002755,6.294938404276957
Nova Iguaçu,RJ,0.0,0.034234015913405226,0.0,0,109.83115038661828,4.849471023644833,1.4202303929304088,0.007416758718636579,0.012939876913365947,0.009941612750512861,5.083872313103825,4.877161291822064
São José dos Campos,SP,29.529652351738243,0.14107008977671895,2069.0039803680984,1,171.37014314928425,8.016653388466688,10.961145194274028,0.01096114519427403,0.016359918200409,0.01971370143149284,7.133415430078706,7.711469188753654
Santo André,SP,12.314292524032732,0.0765977553844968,0.0,1,145.62643997775484,6.6682537567447895,6.67355207754032,0.017557797727814413,0.01287042186382776,0.015492174465718598,6.348694886017366,6.552520077779119
Ribeirão Preto,SP,10.684438802496562,0.06403118880148219,681.4293309002433,1,168.6237173384111,6.71587510913284,5.236432878451286,0.013699354702210939,0.01808949539828626,0.016502697556331325,6.546770950136813,6.686010354446513
Jaboatão dos Guararapes,PE,0.0,0.05956078517278339,0.0,0,81.87849162011173,4.853423652370386,2.2695530726256985,0.01274441340782123,0.007332402234636872,0.008729050279329608,4.833118108495074,4.743071112466875
Uberlândia,MG,18.93109325541758,0.06980869470294462,113.51594959824689,1,143.29194058923787,6.792896211331263,6.087168249330412,0.008522035549062576,0.015765765765765764,0.016800584368151936,6.31613058160289,6.602547212440124
Osasco,SP,0.0,0.07942290241518916,15360.109227443396,0,226.19183069746273,6.761516577141683,6.8267152121970645,0.012515644555694618,0.01160541586073501,0.014791216293093639,6.052900371135161,6.44248224215566
Sorocaba,SP,10.923987255348202,0.12828075649360826,7145.393438780155,1,172.20452131694734,7.569437555202815,6.599908966772872,0.019951448945531785,0.0144135942952511,0.013048095888332575,6.334866948166138,7.034630883088381
Contagem,MG,0.0,0.08974002792112629,0.0,0,112.22393425783255,5.3458686711361505,5.906522855675398,0.026365348399246705,0.007361753124464989,0.008988186954288649,5.640185267288138,5.4491112596561395
Aracaju,SE,2.38251725271114,0.044506784822073986,10.013473545842919,0,85.93493263227079,4.8259551116724175,6.572461386789352,0.0023825172527111404,0.020046007229707525,0.015034505422280645,6.3326255468947465,5.542847042196155
Feira de Santana,BA,8.086785009861932,0.06163662385645022,0.0,0,104.63510848126232,5.285627348539205,1.3806706114398422,0.008777120315581853,0.01232741617357002,0.013510848126232742,5.365519782149295,5.267152478575184
Cuiabá,MT,12.531503780453654,0.04656732954776899,11507.526473676842,0,148.76785214225706,6.09880458680323,2.7303276393167177,0.003990478857462895,0.016872024642957156,0.018342201064127695,6.05518224558794,6.083662844938403
Joinville,SC,7.650765076507651,0.15412168656453493,15689.956122862286,1,143.48934893489348,7.826003425749681,12.901290129012901,0.019126912691269128,0.013876387638763876,0.021827182718271828,7.570218603733535,7.84520710385971
Aparecida de Goiânia,GO,0.0,0.07601958160174685,0.0,0,150.5360972122945,5.521257098814958,1.2866333095067906,0.024588992137240886,0.009864188706218727,0.012580414581844175,5.613611101891951,5.529963786827726
Londrina,PR,16.08493864835654,0.06619342491853862,230.1040771822748,1,124.41986140250494,6.537493004765436,7.692796744866171,0.01347828851166635,0.015067709326721343,0.017038591137389536,6.596765988605603,6.616256161704326
Juiz de Fora,MG,13.183915622940013,0.06790966971344124,0.0,1,93.35860250494397,6.218735775073216,3.955174686882004,0.00502636783124588,0.01491430454845089,0.014831905075807514,5.781864034271501,6.000325883424059
Porto Velho,RO,5.002027849128025,0.27137779426583314,0.0,0,77.8694065161552,6.7954702021881,10.00405569825605,0.003109368662971475,0.012031904826280925,0.009868865756387724,5.687574810975003,6.262443998665244
Ananindeua,PA,7.5075075075075075,0.044674648508514325,0.0,0,69.36936936936937,4.852130693286341,1.8018018018018018,0.009309309309309309,0.006606606606606606,0.013213213213213212,4.984591186926719,4.82466572573804
Serra,ES,1.7520215633423182,0.10434515005013253,202.19485175202158,0,157.00808625336927,5.875107272979861,4.8517520215633425,0.011051212938005392,0.008490566037735849,0.012803234501347708,5.433609293617224,5.62441763494194
Caxias do Sul,RS,4.2410896337982225,0.18378737899855294,2126.9641260908575,0,135.2255117853356,6.545382618397771,18.106190359677026,0.05537884348748063,0.01239703123725634,0.018921784520022838,8.893073523025242,7.868153390262657
Macapá,AP,7.287633796401731,0.0261627687736155,255.35572762468686,0,40.76520154862218,4.477486820890033,5.921202459576406,0.0013664313368253246,0.013892051924390799,0.010931450694602596,5.463902502827846,4.881532770537025
Niterói,RJ,27.55638460234017,0.05586411750524252,9.347040868238087,0,144.81939969476005,6.121913490987438,6.443954553162625,0.002034933016788197,0.015601153128709513,0.015516364253010005,6.026009147458945,6.080368097525258
Florianópolis,SC,43.50025290844714,0.058509580643753306,6123.274570055641,1,254.48912493677287,8.523620502100297,10.93829033889732,0.0023394031360647444,0.018209408194233688,0.02952706120384421,7.773130004039224,8.334474745353404
Belford Roxo,RJ,0.0,0.02546345370174075,0.0,0,84.8585690515807,4.582583745657134,1.1092623405435387,0.0066555740432612314,0.009983361064891847,0.00887409872434831,4.730274162130578,4.540044309651615
Campos dos Goytacazes,RJ,23.2817510107347,0.03818769646871278,0.0,0,78.90701240763975,5.337403788828923,6.273525721455458,0.0034852920674752546,0.013941168269901019,0.010734699567823783,5.553442743812348,5.397383963865172
Vila Velha,ES,4.472076788830716,0.04482252293862582,0.0,0,156.195462478185,5.428624646475484,4.472076788830716,0.005453752181500873,0.011671029668411867,0.01614310645724258,5.714875487882647,5.5346536172201475
Mauá,SP,0.0,0.11757177832183396,0.0,0,118.41767274595428,5.633036991415426,4.109940919599281,0.044438736193167225,0.010017980991523246,0.009247367069098381,6.2656550728681735,5.944958215028801
São João de Meriti,RJ,0.0,0.024086843722263943,0.0,0,95.94460929772502,4.655672074767022,2.9673590504451037,0.01022090339597758,0.010550609957138147,0.005934718100890208,4.827122399582283,4.632372831492307
São José do Rio Preto,SP,5.448127685696747,0.0764002800560112,143.56757366482506,1,210.17495395948436,6.963307382981226,3.376304481276857,0.01634438305709024,0.024248004910988337,0.017572130141190915,6.9871727966402695,7.059718667428465
Mogi das Cruzes,SP,5.207579921886301,0.08478974540600183,0.0,0,155.7934326630985,5.791599034329883,3.0377549544336757,0.013886879791696803,0.015044119774338203,0.010993779835093302,5.682552800049338,5.714300548570818
Betim,MG,0.0,0.16725291581814816,0.0,0,79.45300328890427,5.762371855705173,7.097109226241994,0.027176735329755928,0.011943915527090185,0.006231608101090531,5.890243281018762,5.811261745573252
Boa Vista,RR,10.780407780642136,0.024401057208628188,0.0,0,68.1977970471057,4.76565652037029,1.8748535270681976,0.0014061401453011485,0.014530114834778533,0.011483477853292711,5.1718028656845325,4.879397589494489
Maringá,PR,27.229455410891784,0.07255282081063077,108.11293924121517,0,203.6259274814504,6.710603031343697,8.679826403471932,0.014629707405851884,0.015189696206075878,0.020859582808343834,7.042385854692526,6.9524193404968155
Santos,SP,1.3681970203709333,0.06589726323675656,0.0,0,110.59592581331711,5.168638898336527,2.356339312861052,0.0009121313469139556,0.012617816965643052,0.011097598054119794,5.032181361759947,5.022484628987694
Diadema,SP,8.729388942774005,0.1608248694074224,282.60444228903975,0,145.87778855480116,6.486614581873864,6.595538312318137,0.07701260911736178,0.007177497575169738,0.010475266731328807,7.444490666913721,7.049192041165174
Jundiaí,SP,0.0,0.10765219807612152,281.54612101980524,0,186.01597548965972,6.077132066136818,6.893533209322683,0.015647226173541962,0.013787066418645366,0.020024072655651603,6.737297324427322,6.442489002195701
Rio Branco,AC,7.945028988619283,0.02957475951320119,0.0,0,59.69508267124758,4.660932954827251,2.362035645265192,0.00622718488297187,0.01181017822632596,0.007730298475413356,4.875936175345186,4.661752223710311
Montes Claros,MG,5.203468979319546,0.047840316780475976,0.0,0,95.130086724483,5.0084160537358615,1.734489659773182,0.0036024016010673785,0.01200800533689126,0.014142761841227485,5.259700562871597,5.059047525647557
Campina Grande,PB,54.720560338537865,0.05771103778110508,2338.4930380855103,1,92.36830585145192,7.451915141051702,30.0598278126368,0.009630818619582664,0.015613599883262804,0.01181964103312418,8.21569802830691,7.992657080591316
Piracicaba,SP,24.4136460554371,0.1522605824076854,0.0,1,106.71641791044775,7.380802835477901,4.797441364605543,0.032729211087420045,0.010767590618336887,0.009914712153518124,6.060998225417518,6.78334735974889
Carapicuíba,SP,0.0,0.054478319646496236,0.0,0,119.82727599856064,5.100425141071383,11.155091759625765,0.01943145016192875,0.010075566750629723,0.008276358402302987,6.0538831742101955,5.540525828178858
Anápolis,GO,6.462035541195477,0.07779319624910642,0.0,0,114.7011308562197,5.453699521453093,4.173397953688745,0.013597199784598816,0.010231556273559504,0.010231556273559504,5.371439804284566,5.36168447075171
Olinda,PE,0.0,0.04192599539602694,0.0,0,114.60101867572156,4.952268941658424,3.11262026032824,0.0050933786078098476,0.014431239388794566,0.018958687040181096,5.999667527054796,5.430574839796051
Cariacica,ES,0.0,0.051420052557105314,0.0,0,109.3210586881473,4.993582798988216,2.5316455696202533,0.010126582278481013,0.007594936708860759,0.009666283084004603,4.867636922743021,4.837975689222802
Bauru,SP,14.531548757170173,0.0967070025788534,26168.26003824092,0,128.1070745697897,7.034192316251881,5.863607393244105,0.012746972594008922,0.013894200127469726,0.01797323135755258,6.389583290041227,6.773553919687038
Itaquaquecetuba,SP,0.0,0.11338628468236843,0.0,0,109.74284679463962,5.530518761215884,6.519377037305324,0.04636001448750453,0.004708438971387179,0.004708438971387179,5.808179840653476,5.640707224960586
São Vicente,SP,0.0,0.029978357297447876,0.0,0,87.60064412238326,4.642480469426434,3.2206119162640903,0.0022544283413848632,0.008695652173913044,0.008051529790660225,4.629497196135057,4.51783359648019
Vitória,ES,24.372950456438893,0.06640674048055221,220.84448285030575,1,167.59727022954888,7.115716226507444,10.724098200833112,0.0014180625720109899,0.02011876274040592,0.023752548081184082,7.398837631802539,7.366186486664256
Caruaru,PE,4.706239562775163,0.034394490380513176,0.0,0,121.60315773493245,5.080700670566248,0.45544253833308035,0.005768938818885684,0.01320783361165933,0.010475178381660847,5.001363415859902,4.957963012502854
Caucaia,CE,0.0,0.07414484283091678,0.0,0,81.437125748503,4.975651647131015,2.7944111776447107,0.016766467065868262,0.008782435129740519,0.010778443113772455,5.281726022609651,5.053212930360631
Blumenau,SC,4.897061762942235,0.1090219413941885,22166.699980011992,0,186.48810713571856,7.137261708110216,8.4949030581651,0.01968818708774735,0.019488307015790525,0.029182490505696584,8.16580770656105,7.7945962000077404
