,,Desenvolvimento Econômico,Desenvolvimento Econômico,Desenvolvimento Econômico,Desenvolvimento Econômico,Clientes Potenciais,Clientes Potenciais,Clientes Potenciais,Clientes Potenciais,Índice de Mercado
,,Índice de Desenvolvimento Humano,Crescimento Real Médio do PIB,Número de Empresas Exportadoras com Sede na Cidade,Índice de Desenvolvimento Econômico,PIB per capita,Proporção entre Grandes/Médias e Médias/Pequenas Empresas,Compras Públicas,Índice de Clientes Potenciais,
Município,UF,,,,,,,,,
Ananindeua,PA,0.718,0.012633892660145621,0.008708708708708709,5.540768797101992,15.110366203438131,0.8403686087990487,757178.6093783784,4.9637544235603,5.053428798803531
Anápolis,GO,0.737,-0.0059960122603680555,0.0071351642434033385,5.418101294802178,37.16856397815023,1.0995903012187895,555778.4118241788,5.578827855031241,5.36510015224186
Aparecida de Goiânia,GO,0.718,0.014556157184871799,0.006719085060757684,5.445529472955896,23.87793846910495,0.9265127508676626,627006.0962687633,5.06991938443475,5.06034424759196
Aracaju,SE,0.77,-0.03236662083389208,0.0005750903713440683,5.055754091886062,26.06920611227242,1.788872363439697,553541.8839180085,6.4020435534469,5.656809693577439
Bauru,SP,0.801,-0.004371653624057041,0.007775653282345443,6.327721909284401,40.147629327283305,1.5214144185337601,558106.3895474825,6.36891644095337,6.4409415171769675
Belford Roxo,RJ,0.684,-0.0460983386443831,0.004437049362174155,3.956047147006974,15.653205599731386,0.7873799725651577,1550614.3218746535,6.63697426705766,5.109444273192689
Belo Horizonte,MG,0.81,-0.020653376004248953,0.005356863970014056,6.055129598498019,38.410434500164186,1.5039722732521563,594003.9874127753,6.36949475772024,6.268768591044789
Belém,PA,0.746,-0.020510237074622923,0.008424149227786322,5.40222250839519,21.511479534260033,2.23277330233564,651435.8598020993,7.224492100695648,6.396682856284275
Betim,MG,0.749,-0.012756649977716084,0.01021291327678726,5.667916566906866,62.36611380726361,1.0414711953462188,1016574.0028734638,7.213497988202435,6.557896749524492
Blumenau,SC,0.806,-0.013458856318287213,0.014691185288826705,6.689198256477005,47.197951519848914,1.627204585537919,540730.7868528883,6.7069821454976895,6.883720950030021
